iterations	time	residual
0	0.000000	1.000000e+00
1	0.000180	4.000000e-01
2	0.000359	2.000000e-01
3	0.000539	1.760000e-01
4	0.000718	1.152000e-01
5	0.000898	1.056000e-01
6	0.001077	8.371200e-02
7	0.001257	7.185920e-02
8	0.001437	6.344704e-02
9	0.001616	5.514854e-02
10	0.001796	4.979958e-02
11	0.001975	4.435370e-02
12	0.002155	4.020250e-02
13	0.002334	3.637480e-02
14	0.002514	3.322318e-02
15	0.002694	3.040925e-02
16	0.002873	2.799929e-02
17	0.003053	2.600503e-02
18	0.003232	2.450170e-02
19	0.003412	2.312370e-02
20	0.003591	2.184357e-02
21	0.003771	2.065781e-02
22	0.003951	1.955228e-02
23	0.004130	1.852099e-02
24	0.004310	1.755540e-02
25	0.004489	1.665002e-02
26	0.004669	1.579909e-02
27	0.004848	1.499816e-02
28	0.005028	1.424307e-02
29	0.005208	1.353031e-02
30	0.005387	1.285671e-02
31	0.005567	1.221951e-02
32	0.005746	1.161621e-02
33	0.005926	1.104460e-02
34	0.006105	1.050265e-02
35	0.006285	9.988550e-03
36	0.006465	9.500637e-03
37	0.006644	9.037388e-03
38	0.006824	8.597402e-03
39	0.007003	8.179387e-03
40	0.007183	7.782143e-03
41	0.007363	7.404555e-03
42	0.007542	7.045583e-03
43	0.007722	6.704254e-03
44	0.007901	6.379657e-03
45	0.008081	6.070934e-03
46	0.008260	5.777280e-03
47	0.008440	5.497935e-03
48	0.008620	5.232182e-03
49	0.008799	4.979345e-03
50	0.008979	4.738782e-03
51	0.009158	4.509887e-03
52	0.009338	4.292085e-03
53	0.009517	4.084832e-03
54	0.009697	3.887612e-03
55	0.009877	3.699933e-03
56	0.010056	3.521331e-03
57	0.010236	3.351364e-03
58	0.010415	3.189612e-03
59	0.010595	3.035675e-03
60	0.010774	2.889174e-03
61	0.010954	2.749750e-03
62	0.011134	2.617058e-03
63	0.011313	2.490773e-03
64	0.011493	2.370586e-03
65	0.011672	2.256200e-03
66	0.011852	2.147335e-03
67	0.012031	2.043726e-03
68	0.012211	1.945116e-03
69	0.012391	1.851266e-03
70	0.012570	1.761945e-03
71	0.012750	1.676934e-03
72	0.012929	1.596025e-03
73	0.013109	1.519021e-03
74	0.013288	1.445732e-03
75	0.013468	1.375979e-03
76	0.013648	1.309593e-03
77	0.013827	1.246409e-03
78	0.014007	1.186274e-03
79	0.014186	1.129040e-03
80	0.014366	1.074568e-03
81	0.014545	1.022724e-03
82	0.014725	9.733811e-04
